"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
49,2013-01-19,2013,"201301","20130119",6693.51,6693.62,6693.7075,6693.78,6693.855,6693.92,6693.995,6694.0775,6694.205,6694.375,6694.535,6694.685,6694.82,6694.9625,6695.075,6695.195,6695.3275,6695.485,6695.6875,6695.8975,6696.1125,6696.355,6696.6075,6696.8025
49,2013-01-20,2013,"201301","20130120",6696.945,6697.05,6697.13,6697.1975,6697.265,6697.3325,6697.4075,6697.49,6697.6025,6697.78,6697.9525,6698.12,6698.28,6698.4375,6698.575,6698.695,6698.8375,6698.9975,6699.205,6699.4575,6699.71,6699.9525,6700.1925,6700.3775
49,2013-01-21,2013,"201301","20130121",6700.515,6700.615,6700.685,6700.75,6700.81,6700.8775,6700.9425,6701.04,6701.17,6701.3275,6701.4725,6701.625,6701.7525,6701.865,6701.955,6702.0475,6702.1475,6702.2825,6702.4475,6702.64,6702.85,6703.0625,6703.2775,6703.46
49,2013-01-22,2013,"201301","20130122",6703.595,6703.6975,6703.7675,6703.835,6703.895,6703.96,6704.035,6704.13,6704.265,6704.4,6704.5225,6704.635,6704.76,6704.87,6704.97,6705.0675,6705.16,6705.285,6705.46,6705.6775,6705.91,6706.135,6706.355,6706.54
49,2013-01-23,2013,"201301","20130123",6706.685,6706.78,6706.8575,6706.915,6706.975,6707.035,6707.11,6707.205,6707.3425,6707.5,6707.64,6707.7825,6707.905,6708.0175,6708.1125,6708.205,6708.3025,6708.4425,6708.6125,6708.8025,6708.99,6709.205,6709.415,6709.6
49,2013-01-24,2013,"201301","20130124",6709.7425,6709.84,6709.915,6709.975,6710.0375,6710.1,6710.1775,6710.275,6710.405,6710.565,6710.6925,6710.805,6710.925,6711.0375,6711.1325,6711.2275,6711.325,6711.435,6711.605,6711.81,6712.005,6712.2125,6712.43,6712.615
49,2013-01-25,2013,"201301","20130125",6712.755,6712.8575,6712.9375,6713.0025,6713.065,6713.125,6713.2,6713.2975,6713.445,6713.6,6713.7175,6713.8325,6713.945,6714.0625,6714.1675,6714.27,6714.37,6714.5125,6714.6825,6714.8625,6715.0675,6715.285,6715.4975,6715.7
49,2013-01-26,2013,"201301","20130126",6715.855,6715.965,6716.05,6716.1175,6716.1825,6716.245,6716.3225,6716.405,6716.54,6716.7025,6716.87,6717.0225,6717.16,6717.3025,6717.41,6717.5275,6717.6475,6717.785,6717.95,6718.145,6718.35,6718.5725,6718.8125,6719.0325
49,2013-01-27,2013,"201301","20130127",6719.1925,6719.3,6719.3825,6719.455,6719.5175,6719.58,6719.6525,6719.735,6719.845,6719.9925,6720.1675,6720.3275,6720.475,6720.615,6720.74,6720.855,6721,6721.155,6721.3275,6721.5275,6721.75,6721.9775,6722.195,6722.405
49,2013-01-28,2013,"201301","20130128",6722.54,6722.63,6722.705,6722.76,6722.815,6722.875,6722.95,6723.0425,6723.17,6723.3175,6723.4425,6723.555,6723.66,6723.7675,6723.865,6723.9625,6724.075,6724.21,6724.36,6724.5525,6724.7725,6724.995,6725.215,6725.395
