,0,225,224,1,1,2389,685,27.0897,-6.2844,3级越限
,0,225,244,1,1,2389,2419,-6.01831,-1.43717,3级越限
3346->1173,0,311,73,1,1,3346,1173,0.387166,-0.0999658,3级越限
1638->1284,0,81,82,1,1,1638,1284,-0.523031,0.0298054,3级越限
,0,595,145,1,1,9118,1165,-0.915603,0.207954,3级越限
,0,595,319,1,1,9118,830,0.31271,-0.239504,3级越限
4159->365,0,2,6,1,1,4159,365,-14.4323,8.6423,3级越限
9903->6713,0,603,511,1,1,9903,6713,0.403716,0.0637684,3级越限
,0,2,1,1,1,4159,1725,28.9522,2.73794,3级越限
,0,2,1,1,1,4159,1725,28.9522,2.73794,3级越限
4159->364,0,2,3,1,1,4159,364,-14.3963,8.60134,3级越限
,0,258,625,1,1,10914,8774,-1.57369,0.0413663,3级越限
,0,258,257,1,1,10914,10909,0.400082,-0.129926,3级越限
9903->6734,0,603,512,1,1,9903,6734,0.18816,0.18962,3级越限
,0,566,516,1,1,8312,4851,-0.0120236,-0.0394626,3级越限
,0,367,190,1,1,3868,2824,-0.0344334,-0.0177743,3级越限
,0,367,190,1,1,3868,2824,-0.0344334,-0.0177743,3级越限
,0,282,246,1,1,2728,3005,-1.67067,0.20338,3级越限
,0,282,246,1,1,2728,3005,-1.67067,0.20338,3级越限
2728->4075,0,282,397,1,1,2728,4075,0.957918,-0.203184,3级越限
8774->10914,0,625,258,1,1,8774,10914,1.57632,-0.0406091,3级越限
8774->1898,0,625,626,1,1,8774,1898,0.236198,-0.258873,3级越限
,0,469,171,1,1,5749,1293,-1.24351,0.0600593,3级越限
5749->3931,0,469,391,1,1,5749,3931,1.49849,-0.0384981,3级越限
,0,483,484,1,1,6562,5122,-5.03827,0.531378,3级越限
6562->2800,0,483,191,1,1,6562,2800,1.12852,0.557044,3级越限
6562->2800,0,483,191,1,1,6562,2800,1.12852,0.557044,3级越限
1456->3055,0,41,274,1,1,1456,3055,2.51659,0.718481,3级越限
1456->3055,0,41,274,1,1,1456,3055,2.51659,0.718481,3级越限
,0,41,393,1,1,1456,3437,-3.4679,-0.760378,3级越限
,0,41,393,1,1,1456,3437,-3.4679,-0.760378,3级越限
,0,41,40,1,1,1456,846,-1.75739,0.553078,3级越限
,0,41,368,1,1,1456,3875,0.0618984,0.150906,3级越限
,0,41,368,1,1,1456,3875,0.0618984,0.150906,3级越限
1456->3827,0,41,365,1,1,1456,3827,1.81862,-0.551248,3级越限
1456->3827,0,41,365,1,1,1456,3827,1.81862,-0.551248,3级越限
1892->3399,0,315,323,1,1,1892,3399,0.0668218,-0.153718,3级越限
1892->2599,0,315,226,1,1,1892,2599,-0.071704,0.155325,3级越限
,0,51,50,1,1,517,1754,0.197241,-0.0269661,3级越限
2802->3193,0,206,176,1,1,2802,3193,3.17525,-0.247596,3级越限
2802->3193,0,206,176,1,1,2802,3193,3.17525,-0.247596,3级越限
,0,206,144,1,1,2802,1786,3.551,0.182553,3级越限
,0,206,144,1,1,2802,1786,3.551,0.182553,3级越限
2802->4953,0,206,428,1,1,2802,4953,-3.64569,1.2315,3级越限
2802->4953,0,206,428,1,1,2802,4953,-3.64569,1.2315,3级越限
,0,206,461,1,1,2802,5310,-2.12617,0.718208,3级越限
3437->1456,0,393,41,1,1,3437,1456,3.47128,0.768475,3级越限
3437->1456,0,393,41,1,1,3437,1456,3.47128,0.768475,3级越限
3437->4040,0,393,389,1,1,3437,4040,-0.974118,0.7581,3级越限
3437->4040,0,393,389,1,1,3437,4040,-0.974118,0.7581,3级越限
3437->6846,0,393,522,1,1,3437,6846,0.00132024,-0.0286807,3级越限
2243->1293,0,85,171,1,1,2243,1293,1.25561,-0.0740219,3级越限
2243->1652,0,85,86,1,1,2243,1652,-0.604524,0.0172066,3级越限
3005->2728,0,246,282,1,1,3005,2728,1.6721,-0.222861,3级越限
3005->2728,0,246,282,1,1,3005,2728,1.6721,-0.222861,3级越限
,0,246,245,1,1,3005,3166,1.1026,0.0395071,3级越限
,0,246,245,1,1,3005,3166,1.1026,0.0395071,3级越限
